Disease,Treatment
"Autism Spectrum Disorder","Behavioral and developmental interventions; Speech and occupational therapy; Educational support; Social skills support; Treatment of associated symptoms when needed"
"Attention Deficit Hyperactivity Disorder (ADHD)","Behavioral interventions; Educational support; Stimulant or non-stimulant medicines when prescribed; Structured routines; Regular follow-up"
"Sleep Apnea","CPAP therapy when indicated; Weight management; Positional therapy; Oral appliances for selected patients; Surgery for selected cases; Sleep specialist follow-up"
"Insomnia","Sleep hygiene; Cognitive behavioral therapy for insomnia; Treatment of underlying causes; Medicines only when appropriate and prescribed; Regular follow-up"
"Chronic Fatigue Syndrome","Energy management; Pacing activities; Sleep support; Treatment of associated symptoms; Psychological support when appropriate; Individualized medical care"
"Acute Sinusitis","Rest; Adequate fluids; Saline nasal care; Symptom management; Antibiotics only when bacterial infection is suspected or confirmed; Medical review for severe symptoms"
"Chronic Sinusitis","Saline nasal irrigation; Intranasal corticosteroids when prescribed; Allergy management; Treatment of infection when indicated; Surgery for selected persistent cases"
"Otitis Media","Pain management; Observation for selected mild cases; Antibiotics when bacterial infection is suspected or indicated; Ear specialist evaluation for recurrent or persistent disease"
"Conjunctivitis","Supportive eye care for viral cases; Antibiotic eye treatment when bacterial infection is diagnosed; Allergy treatment for allergic conjunctivitis; Avoid sharing personal items; Medical review for severe eye symptoms"
"Glaucoma","Prescription eye-lowering medicines; Laser treatment; Surgery when indicated; Regular eye-pressure and vision monitoring; Long-term ophthalmology follow-up"
"Cataract","Regular eye examinations; Updated glasses for early symptoms; Cataract surgery when vision impairment affects daily activities; Postoperative eye care"
"Allergic Rhinitis","Allergen avoidance; Saline nasal care; Antihistamines; Intranasal corticosteroids when prescribed; Allergy evaluation for persistent symptoms"
"Tonsillitis","Rest; Fluids; Pain and fever management; Antibiotics when bacterial infection is confirmed or strongly suspected; Tonsillectomy for selected recurrent cases"
"Pharyngitis","Fluids; Rest; Pain and fever management; Antibiotics for confirmed bacterial infection; Medical evaluation for severe or persistent symptoms"
"Laryngitis","Voice rest; Adequate fluids; Avoid smoking; Humidified air; Treatment of underlying infection or reflux when appropriate; Medical review for persistent hoarseness"
"Coronary Artery Disease (CAD)","Lifestyle modification; Cholesterol-lowering medicines; Blood pressure control; Antiplatelet medicines when indicated; Revascularization procedures for selected patients; Cardiology follow-up"
"Heart Failure","Heart-failure medicines; Sodium and fluid management when advised; Regular monitoring; Treatment of underlying heart disease; Devices or surgery for selected patients; Cardiology follow-up"
"Arrhythmia","Treatment depends on arrhythmia type; Medicines for rate or rhythm control; Anticoagulation when indicated; Cardioversion or ablation for selected cases; Pacemaker or defibrillator for selected patients"
"Deep Vein Thrombosis (DVT)","Anticoagulant treatment; Compression therapy when appropriate; Monitoring for pulmonary embolism; Hospital care for severe cases; Treatment duration based on individual risk"
"Peripheral Artery Disease (PAD)","Smoking cessation; Exercise therapy; Cholesterol and blood pressure management; Antiplatelet medicines when indicated; Revascularization for selected severe cases"
"Hyperlipidemia","Heart-healthy diet; Regular exercise; Weight management; Statins or other lipid-lowering medicines when prescribed; Regular lipid monitoring"
"Obesity","Nutrition management; Regular physical activity; Behavioral therapy; Weight-loss medicines for selected patients; Bariatric surgery for selected severe obesity; Long-term monitoring"
"Metabolic Syndrome","Weight management; Regular exercise; Healthy diet; Blood pressure treatment; Blood sugar management; Cholesterol management; Smoking cessation"
"Iron Deficiency Anemia","Iron-rich diet; Oral or intravenous iron when indicated; Identify and treat source of blood loss; Treat underlying cause; Repeat blood testing"
"Vitamin B12 Deficiency Anemia","Vitamin B12 supplementation; Intramuscular B12 for selected absorption problems; Treat underlying cause; Monitor blood counts and B12 levels"
"Sickle Cell Disease","Pain management; Hydration; Hydroxyurea when indicated; Infection prevention; Blood transfusion for selected complications; Specialist follow-up"
"Thalassemia","Regular blood transfusions when required; Iron chelation therapy; Folic acid support when indicated; Stem cell transplantation for selected patients; Hematology follow-up"
"Hemophilia","Clotting factor replacement; Desmopressin for selected patients; Bleeding prevention; Physical therapy for joint complications; Specialist hematology care"
"Hypoglycemia","Immediate fast-acting carbohydrate for conscious patients; Glucose or glucagon for severe episodes; Review diabetes medicines; Identify and treat underlying causes; Emergency care when severe"
"Hyperglycemic Crisis (DKA/HHS)","Emergency hospital treatment; Intravenous fluids; Insulin therapy; Electrolyte replacement; Treatment of underlying trigger; Close monitoring"
"Acute Pancreatitis","Hospital evaluation when moderate or severe; IV fluids; Pain management; Early appropriate nutrition; Treatment of gallstones or other causes; Monitoring for complications"
"Chronic Pancreatitis","Pain management; Pancreatic enzyme replacement when indicated; Nutritional support; Diabetes management; Avoid alcohol and smoking; Treatment of complications"
"Appendicitis","Urgent medical evaluation; Surgical appendectomy in most cases; Antibiotic treatment when indicated; Supportive care; Hospital monitoring"
"Gallstones (Cholelithiasis)","Observation for asymptomatic cases; Pain management; Laparoscopic cholecystectomy for symptomatic disease; Treatment of complications when present"
"Acute Cholecystitis","Hospital evaluation; IV fluids; Pain management; Antibiotics when indicated; Early laparoscopic cholecystectomy for appropriate patients"
"Chronic Liver Disease (Cirrhosis)","Treat underlying liver disease; Avoid alcohol; Manage complications; Nutritional support; Regular liver cancer screening when indicated; Specialist follow-up"
"Alcoholic Liver Disease","Complete alcohol cessation; Nutritional support; Treatment of alcohol use disorder; Management of liver complications; Specialist follow-up"
"Non-Alcoholic Fatty Liver Disease (NAFLD)","Weight loss when appropriate; Regular exercise; Balanced diet; Diabetes and cholesterol management; Avoid excessive alcohol; Liver monitoring"
"Liver Cancer (Hepatocellular Carcinoma)","Treatment based on stage and liver function; Surgical resection for selected patients; Ablation; Transarterial treatments; Radiation or systemic therapy when indicated; Oncology and liver specialist care"
"Portal Hypertension","Treatment of underlying liver disease; Medicines to reduce bleeding risk when indicated; Endoscopic treatment of varices; Management of fluid accumulation; Specialist liver care"
"HIV/AIDS","Combination antiretroviral therapy; Regular viral-load monitoring; Prevention and treatment of opportunistic infections; Nutritional support; Long-term infectious disease follow-up"
"Sepsis","Emergency hospital treatment; IV antibiotics when bacterial infection is suspected; IV fluids; Source control; Oxygen or respiratory support; Intensive monitoring"
"Systemic Lupus Erythematosus (SLE)","Disease-modifying medicines; Anti-inflammatory treatment; Immunosuppressive medicines when indicated; Organ-specific treatment; Sun protection; Regular rheumatology follow-up"
"Rheumatic Fever","Antibiotic treatment for streptococcal infection; Anti-inflammatory treatment; Treatment of heart complications; Long-term antibiotic prophylaxis when indicated; Regular medical follow-up"
"Long COVID","Individualized symptom management; Gradual activity according to tolerance; Rehabilitation when appropriate; Treatment of specific complications; Regular medical follow-up"
