Disease,Prevention1,Prevention2,Prevention3
"Acute Sinusitis","Wash hands regularly","Avoid tobacco smoke and irritants","Manage allergies appropriately"
"Chronic Sinusitis","Manage allergies","Avoid smoking and environmental irritants","Maintain appropriate nasal hygiene"
"Otitis Media","Maintain good hand hygiene","Avoid exposure to tobacco smoke","Keep recommended vaccinations up to date"
"Conjunctivitis","Wash hands frequently","Avoid touching or rubbing the eyes","Do not share towels or eye cosmetics"
"Glaucoma","Attend regular eye examinations","Know your family eye-health history","Follow treatment for conditions that increase eye-pressure risk"
"Cataract","Protect eyes from excessive UV exposure","Avoid smoking","Control diabetes and other health conditions"
"Allergic Rhinitis","Identify and reduce exposure to allergens","Keep indoor areas clean","Avoid tobacco smoke"
"Tonsillitis","Wash hands regularly","Avoid sharing utensils with people who are sick","Treat throat infections appropriately"
"Pharyngitis","Wash hands regularly","Avoid close contact with people who have respiratory infections","Avoid sharing drinking utensils"
"Laryngitis","Avoid smoking","Avoid excessive voice strain","Treat respiratory and reflux conditions appropriately"
"Coronary Artery Disease (CAD)","Do not smoke","Control blood pressure and cholesterol","Exercise regularly"
"Heart Failure","Control blood pressure and diabetes","Avoid smoking","Maintain a heart-healthy lifestyle"
"Arrhythmia","Control cardiovascular risk factors","Limit excessive alcohol and stimulants","Attend medical evaluation for persistent palpitations"
"Deep Vein Thrombosis (DVT)","Avoid prolonged immobility","Move regularly during long travel","Discuss clot-prevention measures with a doctor when at increased risk"
"Peripheral Artery Disease (PAD)","Do not smoke","Control diabetes and cholesterol","Exercise regularly"
"Hyperlipidemia","Eat a heart-healthy diet","Exercise regularly","Maintain a healthy weight"
"Obesity","Maintain a balanced diet","Exercise regularly","Maintain healthy sleep and daily routines"
"Metabolic Syndrome","Maintain a healthy weight","Exercise regularly","Control blood pressure, blood sugar, and cholesterol"
"Iron Deficiency Anemia","Eat iron-rich foods","Identify and treat sources of blood loss","Follow recommended screening and medical care"
"Vitamin B12 Deficiency Anemia","Consume adequate vitamin B12","Address conditions that interfere with B12 absorption","Attend medical checkups when at risk"
"Sickle Cell Disease","Attend genetic counseling when appropriate","Maintain good hydration","Avoid known triggers and seek regular specialist care"
"Thalassemia","Seek genetic counseling when appropriate","Attend regular blood monitoring","Follow specialist treatment recommendations"
"Hemophilia","Use appropriate injury-prevention measures","Avoid medicines that increase bleeding unless prescribed","Maintain regular hematology care"
"Hypoglycemia","Follow diabetes medication instructions carefully","Eat regular balanced meals","Monitor blood glucose when advised"
"Hyperglycemic Crisis (DKA/HHS)","Follow prescribed diabetes treatment","Monitor blood glucose as advised","Seek medical care promptly during severe illness or persistent high glucose"
"Acute Pancreatitis","Avoid excessive alcohol","Do not smoke","Manage gallstones and other risk factors with medical care"
"Chronic Pancreatitis","Avoid alcohol","Do not smoke","Follow medical treatment for underlying causes"
"Appendicitis","There is no reliable way to prevent most cases","Seek prompt medical care for worsening abdominal pain","Do not delay evaluation of suspected appendicitis"
"Gallstones (Cholelithiasis)","Maintain a healthy weight","Avoid rapid weight loss","Follow a balanced diet with appropriate dietary fat"
"Acute Cholecystitis","Manage gallstone disease appropriately","Maintain a healthy weight","Seek medical care promptly for severe upper abdominal pain"
"Chronic Liver Disease (Cirrhosis)","Avoid excessive alcohol","Prevent hepatitis through vaccination and safe practices","Manage metabolic conditions and maintain a healthy weight"
"Alcoholic Liver Disease","Avoid alcohol","Seek help for alcohol-use problems when needed","Maintain a balanced diet and regular medical care"
"Non-Alcoholic Fatty Liver Disease (NAFLD)","Maintain a healthy weight","Exercise regularly","Control diabetes and cholesterol"
"Liver Cancer (Hepatocellular Carcinoma)","Prevent hepatitis B through vaccination","Reduce risk of chronic liver disease","Attend medical monitoring when chronic liver disease is present"
"Portal Hypertension","Prevent and manage chronic liver disease","Avoid excessive alcohol","Follow regular liver-specialist care"
"HIV/AIDS","Use appropriate HIV prevention methods","Do not share needles","Get tested and receive treatment when indicated"
"Sepsis","Prevent infections through vaccination and hygiene","Treat serious infections promptly","Seek urgent medical care when severe infection symptoms develop"
"Systemic Lupus Erythematosus (SLE)","Avoid excessive sun exposure","Do not smoke","Attend regular medical follow-ups"
"Rheumatic Fever","Treat streptococcal throat infections appropriately","Complete prescribed antibiotic treatment","Follow secondary prevention when recommended"
"Long COVID","Reduce risk of acute COVID-19 infection","Follow recommended vaccination guidance","Seek medical evaluation for persistent symptoms after infection"
