Disease,HealthTip
"Fibromyalgia","Maintain regular sleep; perform gentle exercise; manage stress; follow prescribed treatment; avoid excessive physical exertion"
"Psoriasis","Moisturize regularly; avoid known triggers; follow prescribed treatment; manage stress; avoid smoking; attend specialist care when needed"
"Eczema (Atopic Dermatitis)","Moisturize frequently; use gentle skin products; avoid irritants; keep nails short; follow prescribed treatment; watch for infection"
"Acne Vulgaris","Clean skin gently; avoid squeezing lesions; use non-comedogenic products; follow prescribed treatment; avoid excessive scrubbing"
"Cellulitis","Seek medical evaluation promptly; complete prescribed antibiotics; keep affected skin clean; monitor spreading redness or fever"
"Fungal Infection","Keep affected areas clean and dry; avoid sharing towels; complete antifungal treatment; wear breathable clothing; maintain good hygiene"
"Hypothyroidism","Take thyroid medicine consistently; attend thyroid-function tests; do not change the dose yourself; maintain balanced nutrition; follow medical advice"
"Hyperthyroidism","Take prescribed treatment; attend thyroid monitoring; monitor heart symptoms; avoid excessive stimulants; follow specialist advice"
"Polycystic Ovary Syndrome (PCOS)","Exercise regularly; maintain healthy weight; follow balanced meals; monitor blood sugar and cholesterol; attend gynecological follow-ups"
"Endometriosis","Follow prescribed pain treatment; attend gynecological appointments; exercise as tolerated; monitor menstrual symptoms; discuss fertility concerns with a specialist"
"Cervical Cancer","Attend recommended screening; follow oncology treatment; maintain nutrition; avoid smoking; attend regular follow-up appointments"
"Breast Cancer","Attend recommended screening; follow oncology treatment; report new breast changes; maintain healthy lifestyle; attend follow-up appointments"
"Prostate Cancer","Attend urology follow-ups; follow prescribed treatment; monitor urinary symptoms; maintain healthy lifestyle; report worsening symptoms"
"Colon Cancer","Follow oncology treatment; attend screening and follow-up; maintain adequate nutrition; report bleeding or bowel changes; avoid smoking"
"Leukemia","Follow hematology treatment; reduce infection exposure when advised; monitor blood counts; maintain nutrition; report fever or unusual bleeding promptly"
"Lymphoma","Follow oncology treatment; attend regular follow-ups; monitor for infection; maintain nutrition; report new swelling or persistent fever"
"Major Depressive Disorder","Seek professional mental-health support; follow prescribed treatment; maintain regular sleep; stay socially connected; exercise as tolerated; seek urgent help for thoughts of self-harm"
"Generalized Anxiety Disorder","Practice stress-management techniques; maintain regular sleep; exercise regularly; limit excessive caffeine; follow professional treatment"
"Bipolar Disorder","Take prescribed medicines consistently; maintain regular sleep; avoid substance misuse; monitor mood changes; maintain psychiatric follow-up"
"Schizophrenia","Take prescribed medicines; maintain regular psychiatric care; avoid substance misuse; maintain supportive routines; seek urgent help for severe symptoms"
"Obsessive Compulsive Disorder (OCD)","Follow prescribed therapy; participate in evidence-based counseling; take medicines as prescribed; manage stress; attend regular follow-ups"
"Autism Spectrum Disorder","Maintain predictable routines; provide appropriate communication support; identify sensory triggers; encourage suitable activities; attend recommended developmental services"
"Attention Deficit Hyperactivity Disorder (ADHD)","Maintain structured routines; use organizational strategies; follow prescribed treatment; ensure adequate sleep; attend appropriate follow-ups"
"Sleep Apnea","Use prescribed CPAP or other treatment; maintain healthy weight; follow regular sleep schedule; avoid excessive alcohol before sleep; attend follow-ups"
"Insomnia","Maintain a regular sleep schedule; reduce caffeine; limit screen use before bedtime; create a comfortable sleep environment; seek medical advice for persistent symptoms"
"Chronic Fatigue Syndrome","Balance activity and rest; avoid excessive exertion; maintain regular sleep; stay hydrated; follow medical guidance; monitor symptom changes"
"Acute Sinusitis","Rest; maintain hydration; use saline nasal care when appropriate; avoid smoke and irritants; follow medical advice; seek care for severe symptoms"
"Chronic Sinusitis","Use prescribed nasal treatment; manage allergies; avoid smoke and irritants; maintain nasal hygiene; attend ENT follow-ups"
"Otitis Media","Seek medical evaluation when needed; follow prescribed treatment; avoid inserting objects into the ear; monitor hearing; attend follow-up for persistent symptoms"
"Conjunctivitis","Wash hands frequently; avoid touching or rubbing the eyes; do not share towels; avoid contact lenses while symptomatic; follow prescribed eye treatment"
"Glaucoma","Use prescribed eye drops consistently; attend regular eye-pressure checks; do not stop treatment without medical advice; report sudden vision changes"
"Cataract","Attend regular eye examinations; protect eyes from UV exposure; control diabetes; avoid smoking; discuss surgery when vision becomes significantly impaired"
"Allergic Rhinitis","Avoid known allergens; keep living areas clean; reduce dust exposure; use prescribed allergy treatment; maintain good indoor air quality"
"Tonsillitis","Rest; maintain hydration; avoid sharing utensils; complete prescribed antibiotics when indicated; seek care for breathing or swallowing difficulty"
"Pharyngitis","Rest; maintain hydration; avoid sharing utensils; follow prescribed treatment; seek care for severe throat swelling or breathing difficulty"
"Laryngitis","Rest the voice; maintain hydration; avoid smoking; avoid throat irritants; seek medical evaluation if hoarseness persists"
"Coronary Artery Disease (CAD)","Control blood pressure and cholesterol; stop smoking; exercise as medically advised; follow a heart-healthy diet; take prescribed medicines; attend cardiac follow-ups"
"Heart Failure","Take medicines as prescribed; monitor weight and swelling; follow fluid and salt advice; attend cardiac appointments; seek urgent care for severe breathlessness"
"Arrhythmia","Take prescribed medicines; attend cardiac monitoring; avoid known triggers; limit excessive stimulants; seek emergency care for fainting or severe chest pain"
"Deep Vein Thrombosis (DVT)","Follow prescribed anticoagulant treatment; avoid prolonged immobility; move regularly during travel; monitor swelling or pain; seek emergency care for sudden breathlessness"
"Peripheral Artery Disease (PAD)","Stop smoking; exercise through supervised walking programs when advised; control diabetes and cholesterol; inspect feet regularly; follow vascular care"
"Hyperlipidemia","Follow a heart-healthy diet; exercise regularly; maintain healthy weight; avoid smoking; take prescribed lipid-lowering medicines"
"Obesity","Adopt a balanced calorie-controlled diet; increase physical activity gradually; maintain healthy sleep; monitor related conditions; seek professional weight-management support when needed"
"Metabolic Syndrome","Maintain healthy weight; exercise regularly; reduce excess sugar and saturated fat; control blood pressure; monitor blood glucose and cholesterol"
"Iron Deficiency Anemia","Identify and treat the cause of iron deficiency; follow prescribed iron therapy; consume iron-rich foods; attend blood tests; seek care for significant bleeding"
"Vitamin B12 Deficiency Anemia","Take prescribed vitamin B12; follow recommended diet; investigate the underlying cause; attend blood tests; report persistent neurological symptoms"
"Sickle Cell Disease","Maintain hydration; avoid extreme temperatures when possible; take prescribed medicines; attend specialist care; seek urgent treatment for severe pain, fever, or breathing problems"
"Thalassemia","Attend hematology appointments; follow transfusion or chelation treatment when prescribed; monitor iron levels; maintain nutrition; attend regular blood tests"
"Hemophilia","Follow clotting-factor treatment; avoid unnecessary injury; avoid medicines that increase bleeding unless prescribed; wear medical identification when advised; seek urgent care for serious bleeding"
"Hypoglycemia","Monitor blood glucose when appropriate; eat regular meals; follow diabetes medication instructions; carry a fast-acting carbohydrate source; seek emergency care for unconsciousness or seizures"
"Hyperglycemic Crisis (DKA/HHS)","Monitor blood glucose and ketones when advised; follow diabetes treatment; maintain hydration; do not stop insulin without medical advice; seek emergency care for vomiting, confusion, or rapid breathing"
"Acute Pancreatitis","Seek medical evaluation; avoid alcohol; follow prescribed diet during recovery; take medicines as directed; attend follow-up appointments"
"Chronic Pancreatitis","Avoid alcohol and smoking; follow prescribed diet; take pancreatic enzymes if prescribed; manage pain appropriately; attend specialist follow-ups"
"Appendicitis","Seek urgent medical evaluation for suspected appendicitis; do not delay treatment; follow surgical advice; avoid self-treating severe abdominal pain"
"Gallstones (Cholelithiasis)","Maintain healthy weight; avoid rapid weight loss; follow a balanced diet; limit foods that trigger symptoms; seek care for severe abdominal pain or fever"
"Acute Cholecystitis","Seek urgent medical evaluation; follow prescribed treatment; avoid foods that worsen symptoms; follow surgical recommendations; monitor for fever or worsening pain"
"Chronic Liver Disease (Cirrhosis)","Avoid alcohol; follow liver specialist advice; take prescribed medicines; avoid unnecessary medicines or supplements; attend regular liver monitoring"
"Alcoholic Liver Disease","Stop alcohol use; attend liver specialist appointments; maintain balanced nutrition; follow prescribed treatment; monitor liver function"
"Non-Alcoholic Fatty Liver Disease (NAFLD)","Lose weight gradually if overweight; exercise regularly; control diabetes and cholesterol; avoid excessive alcohol; attend liver monitoring"
"Liver Cancer (Hepatocellular Carcinoma)","Follow oncology treatment; attend imaging and laboratory follow-ups; avoid alcohol; maintain adequate nutrition; report worsening symptoms"
"Portal Hypertension","Follow liver specialist care; take prescribed medicines; avoid alcohol; monitor for gastrointestinal bleeding; seek emergency care for vomiting blood or black stool"
"HIV/AIDS","Take antiretroviral treatment consistently; attend regular medical follow-ups; prevent transmission; maintain nutrition; receive recommended vaccinations and infection screening"
"Sepsis","Seek emergency medical treatment immediately; follow prescribed antimicrobial treatment; monitor vital signs; maintain hydration under medical supervision; treat the underlying infection"
"Systemic Lupus Erythematosus (SLE)","Attend rheumatology follow-ups; take prescribed medicines; protect skin from excessive sunlight; monitor kidney function; maintain a healthy lifestyle"
"Rheumatic Fever","Complete prescribed antibiotics; attend cardiac follow-up; receive recommended secondary prevention; monitor for heart symptoms"
"Long COVID","Pace activities according to symptoms; maintain a regular sleep routine; stay hydrated; attend medical evaluation for persistent symptoms; avoid overexertion when it worsens symptoms"
