Disease,Precaution1,Precaution2,Precaution3,Precaution4
Autism Spectrum Disorder,Maintain structured routines,Provide supportive communication,Attend recommended therapy,Follow developmental assessments
Attention Deficit Hyperactivity Disorder (ADHD),Maintain structured routines,Follow professional guidance,Use behavioral strategies,Attend regular follow-ups
Sleep Apnea,Maintain healthy body weight,Avoid alcohol before sleep,Sleep in a recommended position,Use prescribed sleep-apnea treatment
Insomnia,Maintain a regular sleep schedule,Avoid caffeine late in the day,Limit screen use before bedtime,Practice relaxation techniques
Chronic Fatigue Syndrome,Pace daily activities,Maintain adequate rest,Stay hydrated,Attend medical follow-ups
Acute Sinusitis,Drink sufficient fluids,Use recommended nasal care,Avoid smoke and irritants,Seek medical help if symptoms worsen
Chronic Sinusitis,Maintain nasal hygiene,Avoid known allergens,Use prescribed treatment,Consult an ENT specialist
Otitis Media,Keep ears protected from irritants,Take prescribed medicines,Monitor fever and ear pain,Attend medical follow-up
Conjunctivitis,Avoid touching the eyes,Wash hands frequently,Do not share towels,Seek medical help for severe eye pain or vision changes
Glaucoma,Attend regular eye examinations,Use prescribed eye drops,Avoid missing treatment,Seek immediate care for sudden vision changes
Cataract,Attend regular eye examinations,Protect eyes from excessive sunlight,Use prescribed eyewear,Consult an eye specialist for worsening vision
Allergic Rhinitis,Avoid known allergens,Keep surroundings clean,Use prescribed medication,Maintain nasal hygiene
Tonsillitis,Drink warm fluids,Get adequate rest,Maintain good oral hygiene,Seek medical help for difficulty breathing or swallowing
Pharyngitis,Drink adequate fluids,Get sufficient rest,Avoid smoking and irritants,Seek medical help for severe symptoms
Laryngitis,Rest the voice,Drink sufficient fluids,Avoid smoking and irritants,Seek medical help for breathing difficulty
Coronary Artery Disease (CAD),Control blood pressure,Maintain healthy cholesterol levels,Exercise regularly,Follow prescribed cardiac treatment
Heart Failure,Monitor body weight,Reduce salt intake,Take prescribed medicines,Seek urgent care for severe breathing difficulty
Arrhythmia,Take prescribed medicines,Limit excessive stimulants,Attend cardiac checkups,Seek emergency care for chest pain or fainting
Deep Vein Thrombosis (DVT),Seek immediate medical evaluation,Follow prescribed anticoagulant treatment,Avoid prolonged immobility,Report chest pain or breathing difficulty immediately
Peripheral Artery Disease (PAD),Stop smoking,Exercise as recommended,Control blood pressure and cholesterol,Protect feet from injury
Hyperlipidemia,Follow a heart-healthy diet,Exercise regularly,Maintain healthy body weight,Take prescribed medicines
Obesity,Maintain a balanced diet,Exercise regularly,Set gradual weight-management goals,Seek professional nutrition guidance
Metabolic Syndrome,Maintain healthy body weight,Exercise regularly,Reduce unhealthy fats and sugars,Monitor blood pressure and blood glucose
Iron Deficiency Anemia,Eat iron-rich foods,Take prescribed iron supplements,Follow blood test recommendations,Identify and treat the underlying cause
Vitamin B12 Deficiency Anemia,Eat vitamin B12-rich foods,Take prescribed supplements,Attend blood tests,Follow medical advice
Sickle Cell Disease,Stay well hydrated,Avoid extreme temperatures,Take prescribed medicines,Seek immediate care for severe pain or breathing difficulty
Thalassemia,Attend regular hematology checkups,Follow prescribed treatment,Maintain adequate nutrition,Follow recommended blood-transfusion care
Hemophilia,Avoid unnecessary injuries,Follow prescribed clotting-factor treatment,Report unusual bleeding immediately,Attend hematology appointments
Hypoglycemia,Monitor blood glucose regularly,Carry a fast source of glucose,Do not skip meals,Seek emergency help for loss of consciousness
Hyperglycemic Crisis (DKA/HHS),Monitor blood glucose regularly,Take diabetes medicines as prescribed,Stay adequately hydrated,Seek emergency medical care for severe symptoms
Acute Pancreatitis,Avoid alcohol,Follow recommended diet,Take prescribed medicines,Seek immediate care for severe abdominal pain
Chronic Pancreatitis,Avoid alcohol,Follow recommended diet,Take prescribed medicines,Attend regular medical follow-ups
Appendicitis,Seek immediate medical evaluation,Avoid delaying treatment,Follow medical advice,Do not self-treat severe abdominal pain
Gallstones (Cholelithiasis),Avoid high-fat meals,Maintain healthy body weight,Follow medical advice,Seek care for severe abdominal pain or jaundice
Acute Cholecystitis,Seek immediate medical evaluation,Follow prescribed treatment,Avoid heavy meals,Attend follow-up appointments
Chronic Liver Disease (Cirrhosis),Avoid alcohol,Follow a liver-friendly diet,Take prescribed medicines,Attend regular liver checkups
Alcoholic Liver Disease,Avoid alcohol completely,Follow prescribed treatment,Maintain adequate nutrition,Attend regular liver checkups
Non-Alcoholic Fatty Liver Disease (NAFLD),Maintain healthy body weight,Exercise regularly,Follow a balanced diet,Avoid excessive alcohol
Liver Cancer (Hepatocellular Carcinoma),Attend specialist appointments,Follow prescribed cancer treatment,Avoid alcohol,Attend regular monitoring
Portal Hypertension,Follow prescribed treatment,Avoid alcohol,Attend regular liver checkups,Seek emergency care for vomiting blood
HIV/AIDS,Take antiretroviral treatment as prescribed,Attend regular medical checkups,Practice infection prevention,Maintain adequate nutrition
Sepsis,Seek emergency medical treatment immediately,Follow prescribed treatment,Monitor vital symptoms,Do not delay medical care
Systemic Lupus Erythematosus (SLE),Follow prescribed treatment,Protect skin from excessive sunlight,Attend regular checkups,Maintain a balanced lifestyle
Rheumatic Fever,Complete prescribed antibiotics,Attend regular medical follow-ups,Follow cardiac monitoring recommendations,Report worsening symptoms
Long COVID,Maintain adequate rest,Gradually increase activity,Stay hydrated,Seek medical evaluation for persistent or worsening symptoms
