Disease,Description
"Fungal Infection","Fungal organisms; Warm and humid environments; Excess moisture; Weakened immune system; Close contact; Shared personal items"
"Hypothyroidism","Hashimoto's thyroiditis; Iodine deficiency or excess; Thyroid surgery; Radiation treatment; Certain medicines; Pituitary disorders; Congenital thyroid problems"
"Hyperthyroidism","Graves' disease; Toxic thyroid nodules; Thyroiditis; Excess iodine; Certain medicines; Rarely pituitary disorders"
"Polycystic Ovary Syndrome (PCOS)","Insulin resistance; Hormonal imbalance; Genetic factors; Family history; Excess androgen production"
"Endometriosis","Growth of endometrial-like tissue outside the uterus; Genetic factors; Immune factors; Hormonal factors; Retrograde menstruation may contribute"
"Cervical Cancer","Persistent high-risk HPV infection; Smoking; Weakened immune system; Lack of screening; Certain sexual and reproductive risk factors"
"Breast Cancer","Genetic mutations; Family history; Increasing age; Hormonal factors; Previous chest radiation; Obesity after menopause; Alcohol use"
"Prostate Cancer","Age; Family history; Genetic mutations; Increasing age; Certain inherited genetic syndromes; Other risk factors"
"Colon Cancer","Age; Family history; Genetic syndromes; Inflammatory bowel disease; Obesity; Physical inactivity; Smoking; Alcohol; Diet high in processed or red meat"
"Leukemia","Genetic changes in blood-forming cells; Certain inherited conditions; Previous chemotherapy or radiation; High-dose radiation exposure; Some chemical exposures; Cause often unknown"
"Lymphoma","Genetic changes in lymphocytes; Immune system dysfunction; Certain infections; Autoimmune diseases; Immunosuppression; Some environmental factors"
"Major Depressive Disorder","Genetic susceptibility; Brain chemistry and neurobiology; Psychological stress; Trauma; Chronic medical illness; Social factors; Certain medicines"
"Generalized Anxiety Disorder","Genetic factors; Brain chemistry; Chronic stress; Trauma; Personality factors; Family history; Other medical or mental health conditions"
"Bipolar Disorder","Genetic factors; Family history; Brain structure and neurotransmitter differences; Environmental stress; Sleep disruption"
"Schizophrenia","Genetic susceptibility; Brain chemistry; Brain development factors; Prenatal complications; Substance exposure; Environmental and social factors"
"Obsessive Compulsive Disorder (OCD)","Genetic factors; Brain circuitry and neurotransmitter differences; Family history; Environmental stress; Childhood trauma or infections may contribute"
"Autism Spectrum Disorder","Genetic factors; Multiple genetic variations; Prenatal developmental factors; Certain environmental influences; Most cases do not have a single cause"
"Attention Deficit Hyperactivity Disorder (ADHD)","Genetic factors; Brain development differences; Family history; Prenatal and early-life factors; Premature birth and other developmental risks"
"Sleep Apnea","Upper airway obstruction; Obesity; Enlarged tonsils or airway structures; Age; Alcohol or sedative use; Craniofacial anatomy; Neurological disorders in central sleep apnea"
"Insomnia","Stress; Anxiety; Depression; Irregular sleep schedule; Caffeine; Medications; Chronic pain; Medical conditions; Poor sleep environment"
"Chronic Fatigue Syndrome","Cause is not fully understood; Possible post-infectious changes; Immune dysfunction; Autonomic nervous system abnormalities; Genetic and environmental factors"
"Acute Sinusitis","Viral respiratory infection; Bacterial infection in some cases; Allergies; Nasal obstruction; Environmental irritants"
"Chronic Sinusitis","Persistent inflammation of the sinuses; Nasal polyps; Allergies; Recurrent infections; Structural nasal problems; Immune disorders"
"Otitis Media","Middle-ear infection; Viral respiratory infection; Bacterial infection; Eustachian tube dysfunction; Enlarged adenoids; Childhood anatomy"
"Conjunctivitis","Viral infection; Bacterial infection; Allergies; Chemical irritation; Foreign bodies; Contact lens-related irritation or infection"
"Glaucoma","Increased eye pressure in many cases; Abnormal optic nerve susceptibility; Age; Family history; Certain eye conditions; Steroid exposure"
"Cataract","Age-related lens changes; Diabetes; Smoking; Long-term steroid use; Eye injury; Radiation; Congenital factors"
"Allergic Rhinitis","Allergic reaction to pollen; Dust mites; Mold; Animal dander; Other airborne allergens; Genetic predisposition"
"Tonsillitis","Viral infection; Bacterial infection including group A Streptococcus; Close contact with infected individuals"
"Pharyngitis","Viral infection; Streptococcal bacterial infection; Other bacterial infections; Irritants; Allergies; Acid reflux"
"Laryngitis","Viral respiratory infection; Voice overuse; Smoking; Airway irritants; Acid reflux; Bacterial infection in some cases"
"Coronary Artery Disease (CAD)","Atherosclerosis; High cholesterol; Hypertension; Diabetes; Smoking; Obesity; Physical inactivity; Family history"
"Heart Failure","Coronary artery disease; Hypertension; Heart attack; Cardiomyopathy; Heart valve disease; Arrhythmias; Congenital heart disease"
"Arrhythmia","Abnormal electrical activity of the heart; Heart disease; Electrolyte imbalance; Thyroid disorders; Certain medicines; Stimulants; Genetic conditions"
"Deep Vein Thrombosis (DVT)","Blood clot formation in a deep vein; Prolonged immobility; Surgery; Cancer; Pregnancy; Hormonal medicines; Previous DVT; Inherited clotting disorders"
"Peripheral Artery Disease (PAD)","Atherosclerosis; Smoking; Diabetes; High blood pressure; High cholesterol; Increasing age; Family history"
"Hyperlipidemia","Genetic factors; Diet high in saturated or trans fats; Obesity; Physical inactivity; Diabetes; Hypothyroidism; Certain medicines"
"Obesity","Long-term energy imbalance; High-calorie diet; Physical inactivity; Genetic factors; Sleep problems; Certain medicines; Environmental and social factors"
"Metabolic Syndrome","Abdominal obesity; Insulin resistance; Hypertension; High blood sugar; Abnormal cholesterol or triglycerides; Physical inactivity"
"Iron Deficiency Anemia","Inadequate dietary iron; Blood loss; Heavy menstrual bleeding; Gastrointestinal bleeding; Increased iron requirements; Malabsorption"
"Vitamin B12 Deficiency Anemia","Inadequate B12 intake; Pernicious anemia; Malabsorption; Stomach or intestinal disorders; Certain medicines; Gastric surgery"
"Sickle Cell Disease","Inherited mutation in the beta-globin gene; Autosomal recessive inheritance; Both parents carrying a sickle hemoglobin gene"
"Thalassemia","Inherited mutations affecting hemoglobin production; Genetic inheritance from one or both parents"
"Hemophilia","Inherited deficiency of clotting factor VIII or IX; Usually X-linked genetic inheritance; Rare acquired forms"
"Hypoglycemia","Excess diabetes medication or insulin; Skipping meals; Prolonged exercise; Alcohol use; Hormonal disorders; Liver or kidney disease"
"Hyperglycemic Crisis (DKA/HHS)","Severe insulin deficiency or ineffective insulin; Infection; Missed diabetes medicines; New diabetes; Major illness; Dehydration; Certain medicines"
"Acute Pancreatitis","Gallstones; Heavy alcohol use; Very high triglycerides; Certain medicines; Abdominal injury; Infections; Genetic conditions"
"Chronic Pancreatitis","Long-term alcohol use; Recurrent acute pancreatitis; Genetic disorders; Blocked pancreatic ducts; Autoimmune disease; Smoking"
"Appendicitis","Blockage of the appendix opening; Hardened stool; Swollen lymphoid tissue; Infection; Rare foreign-body obstruction"
"Gallstones (Cholelithiasis)","Excess cholesterol in bile; Excess bilirubin; Reduced gallbladder emptying; Obesity; Rapid weight loss; Pregnancy; Family history"
"Acute Cholecystitis","Gallstone blocking the cystic duct; Less commonly infection or other obstruction; Gallbladder inflammation"
"Chronic Liver Disease (Cirrhosis)","Chronic alcohol-related liver injury; Viral hepatitis; Non-alcoholic fatty liver disease; Autoimmune liver disease; Genetic liver disorders; Certain medicines or toxins"
"Alcoholic Liver Disease","Long-term excessive alcohol consumption; Genetic susceptibility; Malnutrition; Coexisting liver disease"
"Non-Alcoholic Fatty Liver Disease (NAFLD)","Insulin resistance; Obesity; Type 2 diabetes; High cholesterol or triglycerides; Metabolic syndrome; Genetic factors"
"Liver Cancer (Hepatocellular Carcinoma)","Chronic hepatitis B; Chronic hepatitis C; Cirrhosis; Alcohol-related liver disease; NAFLD; Certain inherited liver disorders"
"Portal Hypertension","Cirrhosis; Chronic liver disease; Portal vein thrombosis; Schistosomiasis; Other conditions obstructing portal blood flow"
"HIV/AIDS","Human immunodeficiency virus infection; Unprotected sexual contact; Sharing contaminated needles; Infected blood exposure; Mother-to-child transmission"
"Sepsis","Severe infection; Bacterial infections; Viral infections; Fungal infections; Urinary, lung, abdominal or bloodstream infections; Weakened immune system"
"Systemic Lupus Erythematosus (SLE)","Autoimmune dysfunction; Genetic susceptibility; Hormonal factors; Environmental triggers; Sun exposure; Certain infections or medicines may trigger disease"
"Rheumatic Fever","Untreated or inadequately treated group A Streptococcus infection; Immune reaction following streptococcal throat infection"
"Long COVID","Persistent effects following SARS-CoV-2 infection; Post-infectious immune responses; Inflammation; Organ effects; Autonomic or neurological changes"
