Disease,Medicine,Type
"Breast Cancer","Surgery; chemotherapy; hormone therapy; targeted therapy; immunotherapy depending on cancer type","Prescription/Specialist"
"Prostate Cancer","Active surveillance or surgery; hormone therapy; radiation; chemotherapy or other treatment according to stage","Prescription/Specialist"
"Colon Cancer","Surgery; chemotherapy; targeted therapy; immunotherapy according to cancer type and stage","Prescription/Specialist"
"Leukemia","Chemotherapy; targeted therapy; immunotherapy; stem-cell transplantation in selected cases","Prescription/Specialist"
"Lymphoma","Chemotherapy; immunotherapy; targeted therapy; radiation or transplantation depending on type and stage","Prescription/Specialist"
"Major Depressive Disorder","Antidepressants; psychotherapy; other treatments based on clinical assessment","Prescription/Specialist"
"Generalized Anxiety Disorder","SSRIs or SNRIs; other anxiety treatments when prescribed; psychotherapy","Prescription/Specialist"
"Bipolar Disorder","Mood stabilizers; selected antipsychotic medicines; other treatments according to mood episode","Prescription/Specialist"
"Schizophrenia","Antipsychotic medicines; long-acting injectable treatment when appropriate; psychosocial treatment","Prescription/Specialist"
"Obsessive Compulsive Disorder (OCD)","SSRIs; clomipramine in selected cases; psychotherapy such as exposure and response prevention","Prescription/Specialist"
"Autism Spectrum Disorder","No medicine treats the core features of autism; symptom-specific medicines may be prescribed when appropriate","Prescription/Specialist"
"Attention Deficit Hyperactivity Disorder (ADHD)","Stimulant medicines; non-stimulant medicines; behavioral interventions","Prescription/Specialist"
"Sleep Apnea","CPAP or other positive-airway-pressure treatment; dental appliances in selected cases; other specialist treatment","Prescription/Specialist"
"Insomnia","Behavioral sleep treatment; short-term medicines may be prescribed in selected cases","Prescription/Specialist"
"Chronic Fatigue Syndrome","Symptom-specific treatment; no single medicine cures the condition; individualized medical management","Prescription/Specialist"
"Acute Sinusitis","Saline nasal treatment; pain relievers; antibiotics only when bacterial infection is suspected or confirmed","OTC/Prescription"
"Chronic Sinusitis","Saline nasal irrigation; intranasal corticosteroids; treatment of underlying allergies or infection when indicated","Prescription/OTC"
"Otitis Media","Pain-relief medicines; antibiotics in selected bacterial cases; other treatment based on age and severity","Prescription/OTC"
"Conjunctivitis","Lubricating eye drops; antibiotic eye treatment for selected bacterial cases; allergy treatment when appropriate","OTC/Prescription"
"Glaucoma","Prescription eye drops to lower eye pressure; laser treatment or surgery when required","Prescription/Specialist"
"Cataract","No medicine reverses cataract; corrective lenses may help early symptoms; surgery is definitive treatment","Specialist"
"Allergic Rhinitis","Antihistamines; intranasal corticosteroids; saline nasal treatment; other allergy medicines","OTC/Prescription"
"Tonsillitis","Pain-relief medicines; antibiotics for confirmed or suspected bacterial infection when indicated","OTC/Prescription"
"Pharyngitis","Pain-relief medicines; antibiotics when bacterial infection is confirmed or strongly suspected","OTC/Prescription"
"Laryngitis","Voice rest; hydration; treatment of underlying cause; medicines only when clinically indicated","Supportive/Prescription"
"Coronary Artery Disease (CAD)","Statins; antiplatelet medicines; blood-pressure medicines; anti-anginal medicines when prescribed","Prescription"
"Heart Failure","Diuretics; ACE inhibitors/ARBs/ARNI; beta-blockers; mineralocorticoid receptor antagonists; SGLT2 inhibitors","Prescription"
"Arrhythmia","Antiarrhythmic medicines; rate-control medicines; anticoagulation for selected conditions","Prescription"
"Deep Vein Thrombosis (DVT)","Anticoagulants; other clot-management treatment depending on severity","Prescription/Emergency"
"Peripheral Artery Disease (PAD)","Antiplatelet medicines; statins; blood-pressure treatment; medicines for walking-related symptoms when indicated","Prescription"
"Hyperlipidemia","Statins; ezetimibe; other lipid-lowering medicines when indicated","Prescription"
"Obesity","Lifestyle treatment; anti-obesity medicines for eligible patients; bariatric surgery for selected patients","Prescription/Specialist"
"Metabolic Syndrome","Medicines targeting blood pressure, cholesterol, glucose, and other individual risk factors","Prescription"
"Iron Deficiency Anemia","Oral iron; intravenous iron when indicated; treatment of the underlying cause","Prescription/OTC"
"Vitamin B12 Deficiency Anemia","Vitamin B12 tablets or injections depending on the cause and severity","Prescription/OTC"
"Sickle Cell Disease","Hydroxyurea; pain-management medicines; transfusion or other disease-specific treatments when indicated","Prescription/Specialist"
"Thalassemia","Blood transfusions; iron-chelation medicines; other specialist treatments depending on disease type","Prescription/Specialist"
"Hemophilia","Clotting-factor replacement; other bleeding-prevention medicines depending on hemophilia type","Prescription/Specialist"
"Hypoglycemia","Fast-acting glucose for conscious patients; glucagon for severe episodes when prescribed","OTC/Prescription/Emergency"
"Hyperglycemic Crisis (DKA/HHS)","Emergency intravenous fluids; insulin; electrolyte replacement and treatment of the underlying cause","Emergency/Prescription"
"Acute Pancreatitis","Pain management; intravenous fluids; treatment of the underlying cause; antibiotics only when specifically indicated","Hospital Treatment"
"Chronic Pancreatitis","Pain-management medicines; pancreatic enzyme replacement; treatment of diabetes or other complications when needed","Prescription"
"Appendicitis","Emergency surgical evaluation; antibiotics and surgery when indicated","Emergency/Prescription"
"Gallstones (Cholelithiasis)","Pain-relief medicines; treatment of complications; surgical removal of the gallbladder when indicated","Prescription/Specialist"
"Acute Cholecystitis","Pain relief; antibiotics when infection is suspected; urgent surgical evaluation","Prescription/Emergency"
"Chronic Liver Disease (Cirrhosis)","Medicines for fluid retention, portal hypertension, encephalopathy, and underlying liver disease as prescribed","Prescription/Specialist"
"Alcoholic Liver Disease","Alcohol cessation support; nutritional treatment; medicines for specific complications; specialist management","Prescription/Specialist"
"Non-Alcoholic Fatty Liver Disease (NAFLD)","Lifestyle treatment; medicines for diabetes, obesity, cholesterol, or other associated conditions when prescribed","Prescription/Lifestyle"
"Liver Cancer (Hepatocellular Carcinoma)","Surgery; ablation; embolization; targeted therapy; immunotherapy; other oncology treatment according to stage","Specialist"
"Portal Hypertension","Beta-blockers; treatment of variceal bleeding; diuretics and other medicines for complications when indicated","Prescription/Emergency"
"HIV/AIDS","Combination antiretroviral therapy; treatment and prevention of opportunistic infections","Prescription/Specialist"
"Sepsis","Intravenous antibiotics; intravenous fluids; vasopressors and organ-support treatment when required","Emergency/Hospital"
"Systemic Lupus Erythematosus (SLE)","Hydroxychloroquine; corticosteroids; immunosuppressive or biologic medicines depending on organ involvement","Prescription/Specialist"
"Rheumatic Fever","Antibiotic treatment; anti-inflammatory medicines; long-term secondary antibiotic prevention when indicated","Prescription/Specialist"
"Long COVID","Symptom-specific treatment; rehabilitation; treatment of individual complications; no single medicine cures Long COVID","Supportive/Prescription"
