Disease,RiskFactors
"Hypoglycemia","Diabetes medicines; missed meals; excess exercise; alcohol; endocrine disorders"
"Hyperglycemic Crisis (DKA/HHS)","Diabetes; infection; missed insulin; new diabetes; certain medicines"
"Acute Pancreatitis","Gallstones; alcohol; high triglycerides; certain medicines; abdominal trauma"
"Chronic Pancreatitis","Long-term alcohol use; recurrent pancreatitis; smoking; genetic factors"
"Appendicitis","Appendiceal blockage; lymphoid swelling; fecaliths"
"Gallstones (Cholelithiasis)","Female sex; increasing age; obesity; rapid weight loss; pregnancy; family history"
"Acute Cholecystitis","Gallstones; bile duct obstruction; severe illness"
"Chronic Liver Disease (Cirrhosis)","Chronic hepatitis; alcohol-related liver disease; fatty liver disease; autoimmune liver disease"
"Alcoholic Liver Disease","Long-term heavy alcohol use; obesity; nutritional factors; genetic susceptibility"
"Non-Alcoholic Fatty Liver Disease (NAFLD)","Obesity; diabetes; insulin resistance; high cholesterol; metabolic syndrome"
"Liver Cancer (Hepatocellular Carcinoma)","Cirrhosis; chronic hepatitis B or C; fatty liver disease; alcohol-related liver disease"
"Portal Hypertension","Cirrhosis; portal vein thrombosis; chronic liver disease"
"HIV/AIDS","Unprotected sexual exposure; shared needles; infected blood; perinatal transmission"
"Sepsis","Severe infection; weakened immunity; older age; chronic disease; recent surgery"
"Systemic Lupus Erythematosus (SLE)","Family history; female sex; immune factors; certain environmental triggers"
"Rheumatic Fever","Previous group A streptococcal infection; inadequate treatment of strep throat"
"Long COVID","Previous COVID-19 infection; severe acute illness may increase risk; some people develop symptoms after mild infection"
