Disease,Exercise,Duration
"Vitamin B12 Deficiency Anemia","Walking; cycling; balance exercises; stretching; light strength training","20-30 minutes, most days, according to symptoms"
"Sickle Cell Disease","Walking; swimming; gentle cycling; stretching; low-impact exercise","20-30 minutes, as tolerated; avoid dehydration and extreme exertion"
"Thalassemia","Walking; light cycling; stretching; gentle strength training","20-30 minutes, 3-5 days/week, according to medical advice"
"Hemophilia","Swimming; walking; cycling; low-impact strengthening; stretching","20-30 minutes, 3-5 days/week; avoid high-impact contact sports"
"Hypoglycemia","Walking; cycling; swimming; strength training; stretching","30 minutes, most days; monitor glucose and follow exercise safety advice"
"Hyperglycemic Crisis (DKA/HHS)","Rest and medical treatment during crisis; gradual walking after recovery and medical clearance","No strenuous exercise during an active crisis; resume gradually after medical clearance"
"Acute Pancreatitis","Rest during acute illness; gentle walking after stabilization; stretching during recovery","Avoid strenuous exercise during acute illness; gradual return after medical clearance"
"Chronic Pancreatitis","Walking; swimming; cycling; gentle strength training; stretching","20-30 minutes, 3-5 days/week; avoid activities that worsen abdominal pain"
"Appendicitis","Rest until medically treated; gradual walking after surgery or treatment; rehabilitation exercises if needed","No strenuous exercise during acute appendicitis; follow surgical restrictions"
"Gallstones (Cholelithiasis)","Walking; cycling; swimming; stretching; moderate aerobic exercise","30 minutes, most days; avoid exercise that worsens severe abdominal pain"
"Acute Cholecystitis","Rest during acute illness; gentle walking after treatment; stretching during recovery","Avoid strenuous exercise during acute illness; gradual return after medical clearance"
"Chronic Liver Disease (Cirrhosis)","Walking; cycling; gentle strength training; balance exercises; stretching","20-30 minutes, most days, according to medical condition"
"Alcoholic Liver Disease","Walking; cycling; swimming; light strength training; stretching","20-30 minutes, gradually increased; avoid exercise during severe acute symptoms"
"Non-Alcoholic Fatty Liver Disease (NAFLD)","Brisk walking; cycling; swimming; aerobic exercise; strength training","30-45 minutes, 5 days/week"
"Liver Cancer (Hepatocellular Carcinoma)","Gentle walking; stretching; light strengthening when medically cleared","10-30 minutes, according to treatment tolerance and medical advice"
"Portal Hypertension","Walking; gentle cycling; stretching; low-impact activity when medically cleared","Avoid heavy lifting and strenuous activity when advised because of bleeding risk"
"HIV/AIDS","Walking; cycling; swimming; resistance training; stretching","30 minutes, most days, gradually increased according to fitness and medical condition"
"Sepsis","Rest and rehabilitation during recovery; gentle mobility; walking after stabilization","No strenuous exercise during active sepsis; gradual rehabilitation after medical clearance"
"Systemic Lupus Erythematosus (SLE)","Walking; swimming; cycling; stretching; low-impact strength training","20-30 minutes, 3-5 days/week; reduce activity during severe flares"
"Rheumatic Fever","Rest during acute illness; gentle walking and stretching after recovery; gradual aerobic exercise","Avoid strenuous activity during acute illness or active heart inflammation; follow cardiology advice"
"Long COVID","Gentle walking; stretching; breathing exercises; gradual strengthening; pacing activities","Avoid pushing through severe fatigue or post-exertional worsening; increase activity gradually"
