Symptom,Description
"painful_urination","Pain, burning, or discomfort while passing urine"
"burning_urination","Burning sensation during urination"
"cloudy_urine","Urine that appears cloudy, milky, or unusually opaque"
"lower_abdominal_pain","Pain or discomfort in the lower portion of the abdomen"
"kidney_pain","Pain felt around the kidney area, usually in the side or back"
"difficulty_urinating","Difficulty starting or maintaining urine flow"
"migraine","A recurring neurological headache often associated with throbbing pain and other symptoms"
"light_sensitivity","Increased discomfort when exposed to bright light"
"loss_of_balance","Difficulty maintaining stability while standing or walking"
"difficulty_concentrating","Difficulty maintaining attention or focusing on tasks"
"seizures","Sudden episodes of abnormal electrical activity in the brain that may cause changes in movement, awareness, or behavior"
"loss_of_consciousness","Temporary loss of awareness or responsiveness"
"muscle_spasms","Sudden involuntary contractions or movements of muscles"
"tongue_biting","Biting the tongue, which may occur during a seizure"
"urinary_incontinence","Unintentional leakage or loss of bladder control"
"hand_tremor","Involuntary shaking or trembling of the hands"
"muscle_weakness","Reduced strength in one or more muscles"
"difficulty_walking","Difficulty walking normally or maintaining a normal gait"
"poor_balance","Difficulty maintaining stable posture or coordination"
"slow_heartbeat","Heart rate that is slower than the expected normal range"
"difficulty_speaking","Difficulty producing or expressing speech normally"
"difficulty_writing","Difficulty writing or controlling movements needed for writing"
"depression","Persistent low mood, loss of interest, or reduced enjoyment of daily activities"
"difficulty_swallowing","Difficulty or discomfort when swallowing food, liquids, or saliva"
"memory_loss","Difficulty remembering information, events, or previously learned things"
"personality_changes","Noticeable changes in usual behavior, mood, or personality"
"difficulty_reading","Difficulty understanding or processing written words"
"hallucinations","Seeing, hearing, or sensing things that are not actually present"
"aggressive_behavior","Unusually hostile, threatening, or aggressive behavior"
"numbness","Reduced or absent sensation in part of the body"
"double_vision","Seeing two images of one object instead of a single image"
"slurred_speech","Speech that sounds unclear or difficult to understand"
"facial_drooping","Drooping or weakness on one side of the face"
"paralysis","Loss of the ability to move a part of the body"
"joint_stiffness","Reduced ease of movement or stiffness in a joint"
"knee_pain","Pain affecting the knee joint"
"hip_pain","Pain affecting the hip or surrounding area"
"back_pain","Pain affecting the back"
"joint_swelling","Visible swelling around a joint"
"neck_pain","Pain or discomfort in the neck"
"ankle_pain","Pain affecting the ankle joint or surrounding tissues"
"red_skin","Redness or abnormal reddish coloration of the skin"
"bone_pain","Pain or aching originating from or felt deep within bones"
"eczema_like_rash","Itchy, inflamed, dry, or irritated skin resembling eczema"
"psoriasis_like_plaques","Raised, well-defined, scaly patches of skin resembling psoriasis"
"itching","An uncomfortable skin sensation that creates an urge to scratch"
"dry_skin_patch","Localized area of unusually dry, rough, or flaky skin"
"peeling_skin","Skin that flakes, sheds, or peels away from the surface"
"nail_discoloration","Abnormal change in the color of fingernails or toenails"
"brittle_nails","Nails that crack, split, or break easily"
"skin_nodules","Small solid lumps or raised areas beneath or within the skin"
"facial_swelling","Swelling affecting the face or facial tissues"
"skin_abscess","A localized collection of pus beneath or within the skin"
"skin_ulcers","Open sores or breaks in the skin that heal slowly"
"infected_wound","A wound showing signs of infection such as redness, swelling, pain, or discharge"
"skin_blisters","Small fluid-filled areas that form on the skin"
"itchy_scalp","Itching or irritation affecting the scalp"
"hair_loss","Loss or thinning of hair from the scalp or other body areas"
"weight_gain","Increase in body weight that may be intentional or unintentional"
"cold_intolerance","Unusual sensitivity or inability to tolerate cold temperatures"
"heat_intolerance","Unusual sensitivity or inability to tolerate heat"
"slow_heartbeat","Heart rate that is slower than expected"
"irregular_periods","Menstrual periods that occur at irregular, unpredictable, or unusually spaced intervals"
"pelvic_pain","Pain or discomfort in the lower abdomen or pelvic region"
"acne","Pimples, blackheads, whiteheads, or inflamed skin lesions"
"abnormal_vaginal_bleeding","Vaginal bleeding that occurs outside the normal menstrual pattern"
"painful_periods","Menstrual periods associated with significant pain or cramping"
"heavy_menstrual_bleeding","Menstrual bleeding that is unusually heavy or lasts longer than expected"
"pain_during_intercourse","Pain or discomfort during sexual intercourse"
"vaginal_discharge","Fluid or discharge from the vagina that is unusual in amount, color, smell, or consistency"
"breast_lump","A localized lump or thickened area within breast tissue"
"breast_pain","Pain, tenderness, or discomfort in the breast"
"nipple_discharge","Fluid or discharge coming from the nipple"
"swollen_lymph_nodes","Enlarged or swollen lymph nodes"
"blood_in_stool","Presence of visible or hidden blood in stool"
"change_in_bowel_habits","A persistent change in usual bowel frequency, consistency, or pattern"
"rectal_bleeding","Bleeding originating from the rectum or anus"
"abdominal_mass","An unusual lump or mass felt within the abdomen"
"easy_bruising","Bruising that occurs easily or with little apparent injury"
"frequent_infections","Infections that occur repeatedly or more often than expected"
"persistent_fatigue","Long-lasting or persistent tiredness that does not improve adequately with rest"
"mood_swings","Rapid or noticeable changes in mood or emotional state"
"panic_attacks","Sudden episodes of intense fear or anxiety accompanied by physical symptoms"
"anxiety","Excessive worry, fear, nervousness, or uneasiness"
"irritability","Increased tendency to become annoyed, frustrated, or angry"
"insomnia","Difficulty falling asleep, staying asleep, or obtaining adequate sleep"
"tremors","Involuntary rhythmic shaking of a body part"
"difficulty_sleeping","Trouble falling asleep, staying asleep, or getting restful sleep"
"brain_fog","Difficulty with concentration, memory, mental clarity, or thinking"
"persistent_pain","Pain that continues for a prolonged period"
"nasal_congestion","Blocked or stuffy nose caused by swelling or mucus"
"runny_nose","Excess fluid or mucus coming from the nose"
"facial_swelling","Swelling around the face or facial structures"
"ear_pain","Pain or discomfort in or around the ear"
"tooth_pain","Pain or sensitivity affecting a tooth or surrounding area"
"bad_breath","Unpleasant odor coming from the mouth"
"hearing_loss","Partial or complete reduction in the ability to hear"
"ringing_in_ears","Hearing ringing, buzzing, humming, or other sounds without an external source"
"pus_discharge","Discharge containing pus, often associated with infection"
"red_eyes","Redness of the white part of the eyes due to irritation, inflammation, or infection"
"watery_eyes","Excessive tearing or watering of the eyes"
"eye_discharge","Fluid or mucus discharge coming from the eyes"
"eye_pain","Pain or discomfort in or around the eye"
"vision_loss","Partial or complete loss of normal vision"
"light_sensitivity","Eye discomfort or pain caused by exposure to light"
"coronary_chest_pain","Chest discomfort caused by reduced blood flow to the heart"
"exercise_intolerance","Reduced ability to perform physical activity because of fatigue, breathlessness, or other symptoms"
"cold_hands","Hands that feel unusually cold compared with the surrounding environment"
"leg_swelling","Swelling affecting one or both legs"
"leg_cramps","Painful involuntary contractions or cramping in the legs"
"cold_feet","Feet that feel unusually cold"
"non_healing_wound","A wound that fails to heal normally over an expected period"
"skin_discoloration","Abnormal change in the normal color of the skin"
"pale_skin","Skin that appears unusually pale compared with normal coloration"
"pica","Craving and eating substances that have little or no nutritional value"
"excessive_bleeding","Bleeding that is heavier or lasts longer than expected"
"persistent_vomiting","Vomiting that continues repeatedly over time"
"rapid_breathing","Breathing at a faster rate than normal"
"abdominal_fluid_accumulation","Buildup of fluid in the abdominal cavity"
"liver_enlargement","Increase in the size of the liver"
"persistent_diarrhea","Diarrhea that continues for an extended period"
"persistent_fever","Fever that continues or repeatedly returns over a prolonged period"
"frequent_infections","Repeated infections caused by reduced immune function or other factors"
"abnormal_movements","Involuntary or unusual body movements that are not normally controlled"
"snoring","Noisy breathing during sleep caused by vibration of tissues in the upper airway"
"excessive_sweating","Sweating more than expected without an appropriate environmental or physical cause"
"pale_stool","Stool that is unusually light in color"
"rapid_heartbeat","An abnormally fast heartbeat"
"abdominal_fluid_accumulation","Abnormal accumulation of fluid inside the abdomen"
"persistent_cough","A cough that continues for several weeks or longer"
"voice_loss","Partial or complete inability to produce the normal voice"
"hoarseness","A rough, weak, or unusually altered voice"
"difficulty_swallowing","Difficulty moving food or liquid from the mouth into the stomach"
"neck_swelling","Visible swelling in the neck"
"cold_hands","Unusually cold hands that may be associated with reduced circulation"
"abnormal_vaginal_bleeding","Bleeding from the vagina that is unusual in timing, amount, or duration"
"leg_swelling","Swelling or enlargement of one or both legs"
"persistent_vomiting","Repeated vomiting that does not settle normally"
"persistent_pain","Pain that remains present or repeatedly returns over an extended period"
"liver_enlargement","An enlarged liver that may be detected clinically or through imaging"
"easy_bruising","Formation of bruises with minor or unnoticed injuries"
"dehydration","Insufficient body fluid caused by excessive fluid loss or inadequate intake"
"low_blood_pressure","Blood pressure below the expected normal range"
"rapid_heartbeat","An unusually fast heart rate"
"rapid_breathing","An unusually fast breathing rate"
"cold_hands","Hands that remain unusually cold, sometimes associated with reduced circulation"
"persistent_diarrhea","Loose or watery stools occurring repeatedly over a prolonged period"
"persistent_cough","A cough that remains for a prolonged period"
"joint_swelling","Visible enlargement or swelling around one or more joints"
"heavy_menstrual_bleeding","Menstrual bleeding that is unusually heavy or prolonged"
"leg_swelling","Swelling caused by fluid accumulation or inflammation in the leg"
"breast_lump","A new lump, thickening, or unusual area within breast tissue"
"blood_in_stool","Blood present in bowel movements"
"change_in_bowel_habits","A persistent change from the person's usual bowel pattern"
