Disease,Complications
"Hyperglycemic Crisis (DKA/HHS)","Severe dehydration; Electrolyte imbalance; Brain swelling in certain cases; Kidney failure; Shock; Coma; Death"
"Acute Pancreatitis","Pancreatic necrosis; Infection; Pseudocyst; Organ failure; Sepsis; Diabetes"
"Chronic Pancreatitis","Malnutrition; Diabetes; Pancreatic insufficiency; Chronic pain; Pancreatic cancer risk"
"Appendicitis","Appendix rupture; Peritonitis; Abscess; Sepsis; Bowel obstruction"
"Gallstones (Cholelithiasis)","Cholecystitis; Bile duct obstruction; Cholangitis; Pancreatitis; Gallbladder complications"
"Acute Cholecystitis","Gallbladder perforation; Abscess; Gangrene; Sepsis; Bile duct complications; Pancreatitis"
"Chronic Liver Disease (Cirrhosis)","Portal hypertension; Ascites; Variceal bleeding; Hepatic encephalopathy; Liver failure; Liver cancer"
"Alcoholic Liver Disease","Alcoholic hepatitis; Cirrhosis; Portal hypertension; Liver failure; Liver cancer; Malnutrition"
"Non-Alcoholic Fatty Liver Disease (NAFLD)","Non-alcoholic steatohepatitis; Liver fibrosis; Cirrhosis; Liver cancer; Cardiovascular disease"
"Liver Cancer (Hepatocellular Carcinoma)","Liver failure; Portal hypertension; Internal bleeding; Metastasis; Severe weight loss; Death"
"Portal Hypertension","Esophageal varices; Gastrointestinal bleeding; Ascites; Enlarged spleen; Hepatic encephalopathy; Liver failure"
"HIV/AIDS","Opportunistic infections; Certain cancers; Weight loss; Neurological complications; Kidney disease; Liver disease"
"Sepsis","Septic shock; Multiple organ failure; Acute kidney injury; Respiratory failure; Blood clotting problems; Death"
"Systemic Lupus Erythematosus (SLE)","Kidney disease; Heart disease; Lung inflammation; Neurological problems; Blood disorders; Blood clots"
"Rheumatic Fever","Rheumatic heart disease; Heart valve damage; Heart failure; Joint problems; Neurological complications"
"Long COVID","Persistent fatigue; Brain fog; Shortness of breath; Exercise intolerance; Sleep problems; Anxiety or depression"
